to drink	iszik	iʃik
to eat	eszik	ɛʃik
to bite	harap	harap
to suck	szop	ʃop
to spit	köp	køp
to vomit	hány	haːɲ
to blow	fúj	fuːj
to breathe	lélegzik	leːlɛgzik
to laugh	nevet	nɛvɛt
to see	lát	laːt
to hear	hall	hall
to know	tud	tud
to think	gondol	gondol
to smell	szagol	ʃagol
to fear	fél	feːl
to sleep	alszik	alʃik
to live	él	eːl
to die	meghal	mɛghal
to kill	öl	øl
to fight	harcol	harʧol
to hunt	vadászik	vadaːʃik
to hit	üt	yt
to cut	vág	vaːg
to split	hasít	haʃiːt
to stab	szúr	ʃuːr
to scratch	vakar	vakar
to dig	ás	aːʃ
to swim	úszik	uːʃik
to fly	repül	rɛpyl
to walk	jár	jaːr
to come	jön	jøn
to lie	fekszik	fɛkʃik
to sit	ül	yl
to stand	áll	aːll
to turn	fordul	fordul
to fall	esik	ɛʃik
to give	ad	ad
to hold	tart	tart
to squeeze	sajtol	ʃajtol
to rub	dörgöl	dørgøl
to wash	mos	moʃ
to wipe	töröl	tørøl
to pull	húz	huːz
to push	tol	tol
to throw	hajít	hajiːt
to tie	köt	køt
to sew	varr	varr
to count	számol	ʃaːmol
to say	mond	mond
to sing	énekel	eːnɛkɛl
to play	játszik	jaːʧik
to float	lebeg	lɛbɛg
to flow	folyik	folyik
to swell	dagad	dagad
