word	smallness	quickless	shallowness	rarity	lightness	high_pitched
chibi-chibi	1	0	0	0	0	0
chobo-chobo	0	0	0	1	0	0
chirin-chirin	1	1	1	0	0	1
iso-iso	0	1	0	0	0	0
pika-pika	0	1	0	0	1	1
pecha-kucha	1	0	1	0	1	1
buyobuyo	-1	-1	0	0	-1	0
nosonoso	0	-1	0	0	-1	0
noronoro	0	-1	0	0	-1	-1
nobinobi	0	-1	0	0	0	0
goro-goro	-1	1	0	0	-1	-1
gobo-gobo	0	1	0	-1	-1	-1
kaa-kaa	1	0	0	0	1	1
saku-saku	0	0	0	0	1	1
ton-ton	1	0	0	0	1	1
soya-soya	1	1	0	0	1	1
pata-pata	0	0	0	0	1	1
kusu-kusu	1	0	0	0	1	1
gaa-gaa	-1	0	0	0	-1	-1
zaki-zaki	0	0	0	-1	-1	-1
don-don	-1	0	0	-1	-1	-1
byo-byoo	-1	-1	-1	-1	-1	-1
goro-goro	-1	-1	-1	-1	-1	-1
